schemaname,tablename,indexname,indexdef
public,ModerationActionHistory,idx_moderationhistory_nightmarket,"CREATE INDEX idx_moderationhistory_nightmarket ON public.""ModerationActionHistory"" USING btree (""NightMarketId"")"
public,NightMarket,IX_NightMarket_MarketOwnerId,"CREATE INDEX ""IX_NightMarket_MarketOwnerId"" ON public.""NightMarket"" USING btree (""MarketOwnerId"")"
public,NightMarket,NightMarket_pkey,"CREATE UNIQUE INDEX ""NightMarket_pkey"" ON public.""NightMarket"" USING btree (""Id"")"
public,NightMarket,idx_nightmarket_active_status_created,"CREATE INDEX idx_nightmarket_active_status_created ON public.""NightMarket"" USING btree (""IsDeleted"", ""Status"", ""CreatedAt"")"
public,NightMarket,idx_nightmarket_moderation_status,"CREATE INDEX idx_nightmarket_moderation_status ON public.""NightMarket"" USING btree (""ModerationStatus"")"
public,NightMarketImages,NightMarketImages_pkey,"CREATE UNIQUE INDEX ""NightMarketImages_pkey"" ON public.""NightMarketImages"" USING btree (""Id"")"
public,NightMarketImages,idx_nightmarketimage_market,"CREATE INDEX idx_nightmarketimage_market ON public.""NightMarketImages"" USING btree (""NightMarketId"")"
public,NightMarketImages,ux_nightmarketimage_one_cover,"CREATE UNIQUE INDEX ux_nightmarketimage_one_cover ON public.""NightMarketImages"" USING btree (""NightMarketId"") WHERE ((""IsCover"" = true) AND (""IsDeleted"" = false))"
public,Notification,IX_Notification_BoothId,"CREATE INDEX ""IX_Notification_BoothId"" ON public.""Notification"" USING btree (""BoothId"")"
public,Notification,Notification_pkey,"CREATE UNIQUE INDEX ""Notification_pkey"" ON public.""Notification"" USING btree (""Id"")"
public,Notification,idx_notification_batch_id,"CREATE INDEX idx_notification_batch_id ON public.""Notification"" USING btree (""BatchId"")"
public,Notification,idx_notification_created_by_created_at,"CREATE INDEX idx_notification_created_by_created_at ON public.""Notification"" USING btree (""CreatedByUserId"", ""CreatedAt"" DESC)"
public,Notification,idx_notification_user,"CREATE INDEX idx_notification_user ON public.""Notification"" USING btree (""UserId"", ""CreatedAt"" DESC)"
public,Notification,idx_notification_user_read,"CREATE INDEX idx_notification_user_read ON public.""Notification"" USING btree (""UserId"", ""IsRead"", ""CreatedAt"" DESC)"
public,Order,IX_Order_BoothId,"CREATE INDEX ""IX_Order_BoothId"" ON public.""Order"" USING btree (""BoothId"")"
public,Order,IX_Order_BoothOwnerId,"CREATE INDEX ""IX_Order_BoothOwnerId"" ON public.""Order"" USING btree (""BoothOwnerId"")"
public,Order,Order_OrderCode_key,"CREATE UNIQUE INDEX ""Order_OrderCode_key"" ON public.""Order"" USING btree (""OrderCode"")"
public,Order,Order_pkey,"CREATE UNIQUE INDEX ""Order_pkey"" ON public.""Order"" USING btree (""Id"")"
public,Order,idx_order_customer,"CREATE INDEX idx_order_customer ON public.""Order"" USING btree (""CustomerId"")"
public,Order,idx_order_customer_created,"CREATE INDEX idx_order_customer_created ON public.""Order"" USING btree (""CustomerId"", ""CreatedAt"" DESC)"
public,Order,idx_order_customer_status_created,"CREATE INDEX idx_order_customer_status_created ON public.""Order"" USING btree (""CustomerId"", ""Status"", ""CreatedAt"" DESC)"
public,Order,ux_order_customer_checkout_request,"CREATE UNIQUE INDEX ux_order_customer_checkout_request ON public.""Order"" USING btree (""CustomerId"", ""CheckoutRequestId"") WHERE (""CheckoutRequestId"" IS NOT NULL)"
public,Order,ux_order_customer_idempotency_key,"CREATE UNIQUE INDEX ux_order_customer_idempotency_key ON public.""Order"" USING btree (""CustomerId"", ""IdempotencyKey"") WHERE (""IdempotencyKey"" IS NOT NULL)"
public,OrderDetail,IX_OrderDetail_FoodItemId,"CREATE INDEX ""IX_OrderDetail_FoodItemId"" ON public.""OrderDetail"" USING btree (""FoodItemId"")"
public,OrderDetail,OrderDetail_pkey,"CREATE UNIQUE INDEX ""OrderDetail_pkey"" ON public.""OrderDetail"" USING btree (""Id"")"
public,OrderDetail,idx_orderdetail_order,"CREATE INDEX idx_orderdetail_order ON public.""OrderDetail"" USING btree (""OrderId"")"
public,Package,IX_Package_Code,"CREATE UNIQUE INDEX ""IX_Package_Code"" ON public.""Package"" USING btree (""Code"") WHERE (""Code"" IS NOT NULL)"
public,Package,Package_pkey,"CREATE UNIQUE INDEX ""Package_pkey"" ON public.""Package"" USING btree (""Id"")"
public,PackagePolicies,IX_PackagePolicies_PackageId_IsActive,"CREATE UNIQUE INDEX ""IX_PackagePolicies_PackageId_IsActive"" ON public.""PackagePolicies"" USING btree (""PackageId"", ""IsActive"") WHERE ((""IsActive"" = true) AND (""IsDeleted"" = false))"
public,PackagePolicies,IX_PackagePolicies_PackageId_Version,"CREATE UNIQUE INDEX ""IX_PackagePolicies_PackageId_Version"" ON public.""PackagePolicies"" USING btree (""PackageId"", ""Version"")"
public,PackagePolicies,PK_PackagePolicies,"CREATE UNIQUE INDEX ""PK_PackagePolicies"" ON public.""PackagePolicies"" USING btree (""Id"")"
public,PackagePrice,IX_PackagePrice_PackageId,"CREATE INDEX ""IX_PackagePrice_PackageId"" ON public.""PackagePrice"" USING btree (""PackageId"")"
public,PackagePrice,PackagePrice_pkey,"CREATE UNIQUE INDEX ""PackagePrice_pkey"" ON public.""PackagePrice"" USING btree (""Id"")"
public,PaymentAttempts,IX_PaymentAttempts_PaymentId_AttemptNumber,"CREATE UNIQUE INDEX ""IX_PaymentAttempts_PaymentId_AttemptNumber"" ON public.""PaymentAttempts"" USING btree (""PaymentId"", ""AttemptNumber"")"
public,PaymentAttempts,IX_PaymentAttempts_ProviderOrderCode,"CREATE UNIQUE INDEX ""IX_PaymentAttempts_ProviderOrderCode"" ON public.""PaymentAttempts"" USING btree (""ProviderOrderCode"")"
public,PaymentAttempts,PK_PaymentAttempts,"CREATE UNIQUE INDEX ""PK_PaymentAttempts"" ON public.""PaymentAttempts"" USING btree (""Id"")"
public,PaymentMethod,IX_PaymentMethod_UserId,"CREATE INDEX ""IX_PaymentMethod_UserId"" ON public.""PaymentMethod"" USING btree (""UserId"")"
public,PaymentMethod,PK_PaymentMethod,"CREATE UNIQUE INDEX ""PK_PaymentMethod"" ON public.""PaymentMethod"" USING btree (""Id"")"
public,PaymentWebhookEvents,IX_PaymentWebhookEvents_Provider_PayloadHash,"CREATE UNIQUE INDEX ""IX_PaymentWebhookEvents_Provider_PayloadHash"" ON public.""PaymentWebhookEvents"" USING btree (""Provider"", ""PayloadHash"")"
public,PaymentWebhookEvents,IX_PaymentWebhookEvents_Provider_ProviderEventKey,"CREATE UNIQUE INDEX ""IX_PaymentWebhookEvents_Provider_ProviderEventKey"" ON public.""PaymentWebhookEvents"" USING btree (""Provider"", ""ProviderEventKey"")"
public,PaymentWebhookEvents,PK_PaymentWebhookEvents,"CREATE UNIQUE INDEX ""PK_PaymentWebhookEvents"" ON public.""PaymentWebhookEvents"" USING btree (""Id"")"
public,Payments,IX_Payments_BoothOwnerId,"CREATE INDEX ""IX_Payments_BoothOwnerId"" ON public.""Payments"" USING btree (""BoothOwnerId"")"
public,Payments,Payments_pkey,"CREATE UNIQUE INDEX ""Payments_pkey"" ON public.""Payments"" USING btree (""Id"")"
public,Payments,idx_payments_order,"CREATE INDEX idx_payments_order ON public.""Payments"" USING btree (""OrderId"")"
public,Payments,idx_payments_payos_ordercode,"CREATE UNIQUE INDEX idx_payments_payos_ordercode ON public.""Payments"" USING btree (""PayOSOrderCode"") WHERE (""PayOSOrderCode"" IS NOT NULL)"
public,Payments,ux_payments_one_pending_payos_per_order,"CREATE UNIQUE INDEX ux_payments_one_pending_payos_per_order ON public.""Payments"" USING btree (""OrderId"") WHERE (((""Status"")::text = 'Pending'::text) AND ((""Gateway"")::text = 'Payos'::text))"
public,Payments,ux_payments_payout_id,"CREATE UNIQUE INDEX ux_payments_payout_id ON public.""Payments"" USING btree (""PayoutId"") WHERE (""PayoutId"" IS NOT NULL)"
public,Payments,ux_payments_refund_reference,"CREATE UNIQUE INDEX ux_payments_refund_reference ON public.""Payments"" USING btree (""RefundReference"") WHERE (""RefundReference"" IS NOT NULL)"
public,Promotion,Promotion_pkey,"CREATE UNIQUE INDEX ""Promotion_pkey"" ON public.""Promotion"" USING btree (""Id"")"
public,Promotion,idx_promotion_booth,"CREATE INDEX idx_promotion_booth ON public.""Promotion"" USING btree (""BoothId"")"
public,Promotion,ux_promotion_active_code,"CREATE UNIQUE INDEX ux_promotion_active_code ON public.""Promotion"" USING btree (""BoothId"", ""PromotionCode"") WHERE ((""PromotionCode"" IS NOT NULL) AND (""IsDeleted"" = false))"
public,PromotionCategory,PromotionCategory_pkey,"CREATE UNIQUE INDEX ""PromotionCategory_pkey"" ON public.""PromotionCategory"" USING btree (""PromotionId"", ""CategoryId"")"
public,PromotionCategory,idx_promotioncategory_category,"CREATE INDEX idx_promotioncategory_category ON public.""PromotionCategory"" USING btree (""CategoryId"")"
public,PromotionFoodItem,PromotionFoodItem_pkey,"CREATE UNIQUE INDEX ""PromotionFoodItem_pkey"" ON public.""PromotionFoodItem"" USING btree (""PromotionId"", ""FoodItemId"")"
public,PromotionFoodItem,idx_promotionfooditem_food,"CREATE INDEX idx_promotionfooditem_food ON public.""PromotionFoodItem"" USING btree (""FoodItemId"")"
public,PromotionUsages,IX_PromotionUsages_CustomerId,"CREATE INDEX ""IX_PromotionUsages_CustomerId"" ON public.""PromotionUsages"" USING btree (""CustomerId"")"
public,PromotionUsages,IX_PromotionUsages_OrderId,"CREATE INDEX ""IX_PromotionUsages_OrderId"" ON public.""PromotionUsages"" USING btree (""OrderId"")"
public,PromotionUsages,PromotionUsages_pkey,"CREATE UNIQUE INDEX ""PromotionUsages_pkey"" ON public.""PromotionUsages"" USING btree (""Id"")"
public,PromotionUsages,uq_promotionusage_order,"CREATE UNIQUE INDEX uq_promotionusage_order ON public.""PromotionUsages"" USING btree (""PromotionId"", ""OrderId"")"
public,ReviewReplies,IX_ReviewReplies_BoothOwnerId,"CREATE INDEX ""IX_ReviewReplies_BoothOwnerId"" ON public.""ReviewReplies"" USING btree (""BoothOwnerId"")"
